Ticker,AGG,EEM,FIASX,GLD,IEF,IJR,IJH,IVV,LQD,SHY,TIP,TLT,VAW,VDC,VDE,VEURX,VGSIX,VPACX,VPU,Annualized Return,Daily Standard Deviation,Monthly Standard Deviation,Annualized Standard Deviation,Name
AGG,1,-0.06,0,0.17,0.68,-0.12,-0.08,-0.09,0.63,0.48,0.63,0.63,-0.09,-0.05,-0.04,-0.05,-0.08,-0.02,0.06,3.89%,0.31%,1.05%,3.63%,iShares Core US Aggregate Bond ETF
EEM,-0.06,1,0.8,0.16,-0.35,0.76,0.81,0.84,0.15,-0.32,-0.13,-0.34,0.82,0.69,0.72,0.84,0.66,0.83,0.61,7.37%,1.85%,6.29%,21.79%,iShares MSCI Emerging Markets ETF
FIASX,0,0.8,1,0.21,-0.31,0.71,0.76,0.77,0.18,-0.24,-0.05,-0.34,0.77,0.63,0.7,0.88,0.58,0.88,0.57,8.88%,1.03%,5.24%,18.15%,Fidelity Advisor Intl Small Cap A
GLD,0.17,0.16,0.21,1,0.17,0.04,0.06,0.04,0.12,0.16,0.24,0.14,0.18,0.03,0.16,0.16,0.04,0.14,0.1,8.17%,1.14%,4.99%,17.29%,SPDR Gold Shares
IEF,0.68,-0.35,-0.31,0.17,1,-0.39,-0.39,-0.41,0.47,0.73,0.75,0.91,-0.38,-0.3,-0.34,-0.37,-0.24,-0.31,-0.18,4.41%,0.40%,1.75%,6.06%,iShares 7-10 Year Treasury Bond ETF
IJR,-0.12,0.76,0.71,0.04,-0.39,1,0.96,0.89,0.09,-0.31,-0.16,-0.4,0.86,0.74,0.75,0.78,0.76,0.74,0.62,10.40%,1.50%,5.54%,19.20%,iShares Core S&P Small-Cap ETF
IJH,-0.08,0.81,0.76,0.06,-0.39,0.96,1,0.94,0.12,-0.32,-0.15,-0.41,0.91,0.77,0.79,0.82,0.78,0.79,0.68,10.66%,1.39%,5.07%,17.57%,iShares Core S&P Mid-Cap ETF
IVV,-0.09,0.84,0.77,0.04,-0.41,0.89,0.94,1,0.13,-0.35,-0.18,-0.41,0.88,0.85,0.77,0.86,0.77,0.82,0.72,10.51%,1.21%,4.20%,14.55%,iShares Core S&P 500 ETF
LQD,0.63,0.15,0.18,0.12,0.47,0.09,0.12,0.13,1,0.26,0.47,0.45,0.1,0.13,0.11,0.15,0.12,0.18,0.22,5.22%,0.53%,2.07%,7.18%,iShares iBoxx $ Invmt Grade Corp Bd ETF
SHY,0.48,-0.32,-0.24,0.16,0.73,-0.31,-0.32,-0.35,0.26,1,0.56,0.55,-0.31,-0.25,-0.27,-0.29,-0.24,-0.26,-0.18,1.94%,0.08%,0.36%,1.26%,iShares 1-3 Year Treasury Bond ETF
TIP,0.63,-0.13,-0.05,0.24,0.75,-0.16,-0.15,-0.18,0.47,0.56,1,0.69,-0.14,-0.16,-0.07,-0.11,-0.11,-0.09,-0.05,4.22%,0.38%,1.57%,5.45%,iShares TIPS Bond ETF
TLT,0.63,-0.34,-0.34,0.14,0.91,-0.4,-0.41,-0.41,0.45,0.55,0.69,1,-0.4,-0.32,-0.36,-0.38,-0.24,-0.32,-0.2,6.39%,0.89%,3.79%,13.13%,iShares 20+ Year Treasury Bond ETF
VAW,-0.09,0.82,0.77,0.18,-0.38,0.86,0.91,0.88,0.1,-0.31,-0.14,-0.4,1,0.71,0.8,0.82,0.69,0.77,0.63,9.35%,1.56%,6.00%,20.78%,Vanguard Materials ETF
VDC,-0.05,0.69,0.63,0.03,-0.3,0.74,0.77,0.85,0.13,-0.25,-0.16,-0.32,0.71,1,0.59,0.71,0.66,0.7,0.76,10.10%,0.91%,3.25%,11.27%,Vanguard Consumer Staples ETF
VDE,-0.04,0.72,0.7,0.16,-0.34,0.75,0.79,0.77,0.11,-0.27,-0.07,-0.36,0.8,0.59,1,0.73,0.55,0.69,0.57,5.11%,1.94%,7.75%,26.85%,Vanguard Energy ETF
VEURX,-0.05,0.84,0.88,0.16,-0.37,0.78,0.82,0.86,0.15,-0.29,-0.11,-0.38,0.82,0.71,0.73,1,0.66,0.83,0.62,5.98%,1.41%,5.41%,18.73%,Vanguard European Stock Index Investor
VGSIX,-0.08,0.66,0.58,0.04,-0.24,0.76,0.78,0.77,0.12,-0.24,-0.11,-0.24,0.69,0.66,0.55,0.66,1,0.61,0.62,8.87%,1.97%,6.39%,22.15%,Vanguard Real Estate Index Investor
VPACX,-0.02,0.83,0.88,0.14,-0.31,0.74,0.79,0.82,0.18,-0.26,-0.09,-0.32,0.77,0.7,0.69,0.83,0.61,1,0.62,5.81%,1.20%,4.49%,15.56%,Vanguard Pacific Stock Index Investor
VPU,0.06,0.61,0.57,0.1,-0.18,0.62,0.68,0.72,0.22,-0.18,-0.05,-0.2,0.63,0.76,0.57,0.62,0.62,0.62,1,9.36%,1.18%,3.88%,13.45%,Vanguard Utilities ETF
