12 Assets,12A Name,Portfoliovisualizer,PV Name,Correlation,Alternatives
SPY,S&P 500 Index (1 with IVV),IVV,iShares Core S&P 500 ETF,1,
,,IJH,iShares Core S&P Mid-Cap ETF,0,
,,IJR,iShares Core S&P Small-Cap ETF,0,
VGK,S&P Europe BMI,EFA,iShares MSCI EAFE ETF,0.99,
VPL,S&P Asia Pacific BMI,,,0,
,,SCZ,iShares MSCI EAFE Small-Cap ETF,0,FIASX
VWO,S&P Emerging BMI,EEM,iShares MSCI Emerging Markets ETF,0.99,
,,AGG,iShares Core US Aggregate Bond ETF,0,
,,SHY,iShares 1-3 Year Treasury Bond ETF,0,
IEF,S&P US Treasury 7-10 Year TR Index,IEF,iShares 7-10 Year Treasury Bond ETF,1,
TLT,S&P US Treasury Bond 20+ Year TR Index,TLT,iShares 20+ Year Treasury Bond ETF,1,
LTPZ,S&P US TIPS 15+ Year Index and PIMCO Real Return Fund,TIP,iShares TIPS Bond ETF,0.92,
,,LQD,iShares iBoxx $ Invmt Grade Corp Bd ETF,0,
RWO,"Cohen & Steers Global Realty Shares,Inc. Class I",VNQ,Vanguard Real Estate ETF,0.95,
GLD,spot gold in USD,GLD,SPDR Gold Shares,1,
DBC,Deutsche Bank Liquid Commodity Index,DBC,Invesco DB Commodity Tracking,1,
BWX,S&P/Citigroup International Treasury Ex-US TR Index and T. Rowe Price International Bond Fund,,,0,
EMB,PIMCO Emerging Markets Bond Fund and T. Rowe Price Emerging Markets Bond Fund,,,0,
