Ticker,AGG,DBC,DFJ,EEM,FIASX,GDX,GLD,IEF,IJR,IJH,IVV,LQD,PPA,SHY,TIP,TLT,VAW,VDC,VDE,VEURX,VGSIX,VPACX,VPU,Annualized Return,Daily Standard Deviation,Monthly Standard Deviation,Annualized Standard Deviation,Name
AGG,1,-0.03,0.02,-0.07,0,0.17,0.18,0.68,-0.12,-0.08,-0.09,0.62,-0.11,0.47,0.63,0.63,-0.09,-0.05,-0.05,-0.05,-0.09,-0.01,0.05,4.19%,0.31%,1.06%,3.68%,iShares Core US Aggregate Bond ETF
DBC,-0.03,1,0.33,0.49,0.51,0.41,0.36,-0.24,0.42,0.46,0.44,0.09,0.39,-0.17,0.03,-0.27,0.53,0.3,0.65,0.51,0.3,0.45,0.29,-0.20%,1.21%,5.56%,19.27%,Invesco DB Commodity Tracking
DFJ,0.02,0.33,1,0.61,0.7,0.22,0.08,-0.24,0.58,0.61,0.64,0.12,0.58,-0.2,-0.07,-0.24,0.59,0.55,0.53,0.64,0.47,0.77,0.49,4.41%,1.34%,4.13%,14.30%,WisdomTree Japan SmallCap Dividend ETF
EEM,-0.07,0.49,0.61,1,0.81,0.37,0.16,-0.36,0.76,0.81,0.85,0.15,0.73,-0.34,-0.14,-0.35,0.82,0.69,0.73,0.85,0.67,0.84,0.61,5.68%,1.89%,6.24%,21.61%,iShares MSCI Emerging Markets ETF
FIASX,0,0.51,0.7,0.81,1,0.36,0.19,-0.33,0.73,0.78,0.79,0.19,0.73,-0.26,-0.05,-0.35,0.78,0.65,0.72,0.9,0.59,0.88,0.59,7.35%,1.05%,5.26%,18.23%,Fidelity Advisor Intl Small Cap A
GDX,0.17,0.41,0.22,0.37,0.36,1,0.75,0.07,0.24,0.28,0.26,0.15,0.22,0.05,0.16,0.05,0.42,0.21,0.36,0.34,0.21,0.32,0.27,0.16%,2.67%,10.96%,37.97%,VanEck Gold Miners ETF
GLD,0.18,0.36,0.08,0.16,0.19,0.75,1,0.19,0.03,0.06,0.04,0.12,0.03,0.17,0.25,0.15,0.18,0.03,0.15,0.15,0.04,0.13,0.1,7.25%,1.13%,5.01%,17.37%,SPDR Gold Shares
IEF,0.68,-0.24,-0.24,-0.36,-0.33,0.07,0.19,1,-0.41,-0.41,-0.43,0.45,-0.4,0.72,0.74,0.91,-0.4,-0.32,-0.36,-0.38,-0.26,-0.33,-0.2,4.89%,0.41%,1.78%,6.16%,iShares 7-10 Year Treasury Bond ETF
IJR,-0.12,0.42,0.58,0.76,0.73,0.24,0.03,-0.41,1,0.96,0.89,0.09,0.87,-0.33,-0.17,-0.41,0.86,0.74,0.76,0.79,0.77,0.76,0.61,10.37%,1.54%,5.66%,19.60%,iShares Core S&P Small-Cap ETF
IJH,-0.08,0.46,0.61,0.81,0.78,0.28,0.06,-0.41,0.96,1,0.94,0.12,0.89,-0.34,-0.16,-0.42,0.91,0.78,0.8,0.83,0.79,0.8,0.68,10.53%,1.43%,5.21%,18.06%,iShares Core S&P Mid-Cap ETF
