Ticker,AGG,DBC,DFJ,EEM,SCZ,GDX,GLD,IEF,IJR,IJH,IVV,LQD,PPA,SHY,TIP,TLT,VEDTX,VAW,VDC,VDE,VEURX,VGSIX,VPACX,VPU,Annualized Return,Daily Standard Deviation,Monthly Standard Deviation,Annualized Standard Deviation,Name
AGG,1,-0.03,0.01,-0.06,-0.06,0.18,0.2,0.67,-0.12,-0.08,-0.08,0.62,-0.11,0.45,0.62,0.62,0.58,-0.08,-0.04,-0.04,-0.05,-0.08,-0.01,0.06,3.83%,0.32%,1.08%,3.74%,iShares Core US Aggregate Bond ETF
DBC,-0.03,1,0.37,0.51,0.5,0.4,0.33,-0.26,0.44,0.48,0.46,0.1,0.42,-0.19,0.02,-0.28,-0.28,0.55,0.32,0.66,0.53,0.33,0.47,0.31,-2.63%,1.22%,5.71%,19.77%,Invesco DB Commodity Tracking
DFJ,0.01,0.37,1,0.66,0.76,0.24,0.08,-0.27,0.64,0.67,0.7,0.14,0.64,-0.22,-0.08,-0.28,-0.26,0.65,0.6,0.58,0.69,0.51,0.84,0.53,4.73%,1.27%,4.30%,14.90%,WisdomTree Japan SmallCap Dividend ETF
EEM,-0.06,0.51,0.66,1,0.83,0.35,0.13,-0.37,0.76,0.81,0.85,0.17,0.73,-0.33,-0.13,-0.36,-0.36,0.82,0.69,0.74,0.85,0.68,0.85,0.61,1.69%,1.89%,6.32%,21.91%,iShares MSCI Emerging Markets ETF
SCZ,-0.06,0.5,0.76,0.83,1,0.31,0.11,-0.35,0.78,0.82,0.84,0.17,0.77,-0.27,-0.09,-0.37,-0.36,0.81,0.69,0.72,0.9,0.68,0.86,0.6,5.11%,1.38%,5.67%,19.63%,iShares MSCI EAFE Small-Cap ETF
GDX,0.18,0.4,0.24,0.35,0.31,1,0.75,0.08,0.22,0.26,0.25,0.17,0.2,0.08,0.18,0.06,0.03,0.4,0.2,0.34,0.32,0.2,0.3,0.26,-1.89%,2.71%,11.22%,38.87%,VanEck Gold Miners ETF
GLD,0.2,0.33,0.08,0.13,0.11,0.75,1,0.21,0.01,0.04,0.02,0.13,0.01,0.21,0.27,0.16,0.14,0.16,0.02,0.12,0.13,0.03,0.11,0.09,5.52%,1.13%,5.10%,17.66%,SPDR Gold Shares
IEF,0.67,-0.26,-0.27,-0.37,-0.35,0.08,0.21,1,-0.41,-0.42,-0.43,0.44,-0.4,0.72,0.73,0.91,0.89,-0.4,-0.32,-0.37,-0.38,-0.26,-0.33,-0.2,4.33%,0.42%,1.81%,6.26%,iShares 7-10 Year Treasury Bond ETF
IJR,-0.12,0.44,0.64,0.76,0.78,0.22,0.01,-0.41,1,0.96,0.89,0.11,0.87,-0.33,-0.17,-0.42,-0.41,0.87,0.73,0.76,0.79,0.77,0.76,0.61,10.72%,1.58%,5.85%,20.27%,iShares Core S&P Small-Cap ETF
IJH,-0.08,0.48,0.67,0.81,0.82,0.26,0.04,-0.42,0.96,1,0.94,0.14,0.89,-0.34,-0.16,-0.43,-0.42,0.91,0.78,0.8,0.83,0.79,0.81,0.68,10.33%,1.47%,5.39%,18.69%,iShares Core S&P Mid-Cap ETF
IVV,-0.08,0.46,0.7,0.85,0.84,0.25,0.02,-0.43,0.89,0.94,1,0.15,0.88,-0.37,-0.18,-0.43,-0.42,0.89,0.85,0.78,0.86,0.77,0.85,0.72,10.68%,1.28%,4.51%,15.61%,iShares Core S&P 500 ETF
LQD,0.62,0.1,0.14,0.17,0.17,0.17,0.13,0.44,0.11,0.14,0.15,1,0.13,0.22,0.45,0.43,0.41,0.12,0.14,0.12,0.17,0.13,0.2,0.23,5.65%,0.56%,2.22%,7.68%,iShares iBoxx $ Invmt Grade Corp Bd ETF
PPA,-0.11,0.42,0.64,0.73,0.77,0.2,0.01,-0.4,0.87,0.89,0.88,0.13,1,-0.32,-0.17,-0.41,-0.4,0.83,0.75,0.73,0.79,0.69,0.75,0.65,9.62%,1.39%,5.60%,19.41%,Invesco Aerospace&Defense ETF
