Ticker,AFK,AGG,BWX,DBC,DFJ,EEM,EMB,GDX,GLD,IEF,IJR,IJH,IVV,LQD,LTPZ,PPA,RWO,SCZ,SHY,STPZ,TIP,TLT,VAW,VDC,VDE,VEURX,VGSIX,VNM,VPACX,VPU,Annualized Return,Daily Standard Deviation,Monthly Standard Deviation,Annualized Standard Deviation,Name
AFK,1,-0.01,0.3,0.51,0.51,0.73,0.48,0.39,0.24,-0.26,0.62,0.66,0.66,0.14,-0.1,0.59,0.61,0.7,-0.17,0.17,-0.01,-0.28,0.68,0.52,0.61,0.68,0.52,0.47,0.65,0.42,0.68%,1.31%,5.69%,19.69%,VanEck Africa ETF
AGG,-0.01,1,0.43,-0.06,-0.04,-0.06,0.4,0.25,0.27,0.8,-0.11,-0.1,-0.11,0.77,0.72,-0.11,0.03,-0.06,0.61,0.55,0.71,0.77,-0.11,-0.04,-0.09,-0.08,0.05,-0.05,-0.06,0.07,3.59%,0.25%,0.90%,3.12%,iShares Core US Aggregate Bond ETF
BWX,0.3,0.43,1,0.24,0.16,0.28,0.35,0.42,0.42,0.32,0.13,0.13,0.12,0.34,0.31,0.11,0.29,0.32,0.34,0.33,0.35,0.26,0.18,0.11,0.15,0.35,0.2,0.15,0.22,0.15,1.32%,0.48%,2.12%,7.33%,SPDR Blmbg Barclays Intl Trs Bd ETF
DBC,0.51,-0.06,0.24,1,0.35,0.53,0.36,0.35,0.31,-0.25,0.45,0.48,0.47,0.06,-0.07,0.41,0.43,0.51,-0.16,0.26,0.05,-0.27,0.53,0.32,0.66,0.52,0.36,0.35,0.48,0.25,0.07%,1.05%,4.99%,17.27%,Invesco DB Commodity Tracking
DFJ,0.51,-0.04,0.16,0.35,1,0.65,0.38,0.17,0.07,-0.28,0.63,0.66,0.69,0.08,-0.12,0.62,0.62,0.79,-0.19,0.09,-0.07,-0.29,0.64,0.58,0.54,0.67,0.54,0.44,0.86,0.47,7.09%,1.12%,3.79%,13.11%,WisdomTree Japan SmallCap Dividend ETF
EEM,0.73,-0.06,0.28,0.53,0.65,1,0.55,0.3,0.16,-0.34,0.73,0.78,0.82,0.12,-0.14,0.71,0.74,0.85,-0.21,0.15,-0.07,-0.37,0.79,0.63,0.67,0.83,0.65,0.58,0.83,0.5,4.82%,1.41%,5.35%,18.53%,iShares MSCI Emerging Markets ETF
EMB,0.48,0.4,0.35,0.36,0.38,0.55,1,0.29,0.2,0.09,0.44,0.49,0.49,0.49,0.24,0.44,0.54,0.52,0.06,0.43,0.33,0.06,0.46,0.42,0.46,0.51,0.49,0.34,0.49,0.41,5.82%,0.53%,2.45%,8.49%,iShares JP Morgan USD Em Mkts Bd ETF
GDX,0.39,0.25,0.42,0.35,0.17,0.3,0.29,1,0.75,0.15,0.18,0.21,0.19,0.22,0.18,0.16,0.24,0.27,0.18,0.24,0.23,0.11,0.32,0.17,0.24,0.26,0.2,0.2,0.24,0.22,-1.98%,2.43%,10.38%,35.95%,VanEck Gold Miners ETF
GLD,0.24,0.27,0.42,0.31,0.07,0.16,0.2,0.75,1,0.25,0.03,0.04,0.04,0.26,0.27,0.02,0.13,0.14,0.26,0.3,0.32,0.2,0.15,0.06,0.08,0.13,0.1,0.1,0.12,0.12,4.67%,1.00%,4.77%,16.53%,SPDR Gold Shares
IEF,-0.26,0.8,0.32,-0.25,-0.28,-0.34,0.09,0.15,0.25,1,-0.41,-0.42,-0.43,0.6,0.77,-0.4,-0.26,-0.37,0.73,0.46,0.76,0.92,-0.41,-0.3,-0.36,-0.39,-0.21,-0.24,-0.34,-0.14,4.06%,0.38%,1.65%,5.71%,iShares 7-10 Year Treasury Bond ETF
IJR,0.62,-0.11,0.13,0.45,0.63,0.73,0.44,0.18,0.03,-0.41,1,0.96,0.88,0.08,-0.22,0.87,0.79,0.79,-0.28,0.09,-0.15,-0.43,0.87,0.69,0.77,0.77,0.75,0.49,0.75,0.56,15.38%,1.38%,5.34%,18.51%,iShares Core S&P Small-Cap ETF
IJH,0.66,-0.1,0.13,0.48,0.66,0.78,0.49,0.21,0.04,-0.42,0.96,1,0.93,0.1,-0.22,0.89,0.83,0.83,-0.28,0.12,-0.14,-0.44,0.91,0.74,0.79,0.81,0.8,0.53,0.79,0.63,14.68%,1.27%,4.84%,16.76%,iShares Core S&P Mid-Cap ETF
IVV,0.66,-0.11,0.12,0.47,0.69,0.82,0.49,0.19,0.04,-0.43,0.88,0.93,1,0.1,-0.24,0.87,0.81,0.86,-0.31,0.08,-0.17,-0.45,0.89,0.83,0.75,0.84,0.77,0.56,0.83,0.66,15.66%,1.08%,3.97%,13.74%,iShares Core S&P 500 ETF
LQD,0.14,0.77,0.34,0.06,0.08,0.12,0.49,0.22,0.26,0.6,0.08,0.1,0.1,1,0.62,0.1,0.23,0.14,0.42,0.48,0.6,0.58,0.07,0.13,0.06,0.11,0.22,0.06,0.13,0.21,5.82%,0.44%,1.68%,5.83%,iShares iBoxx $ Invmt Grade Corp Bd ETF
